node,adj_concord,adj_most_conflict,other_conflict,the_rest
102,19.696969696969695,6.666666666666667,68.78787878787878,4.848484848484849
103,0.0,2.727272727272727,97.27272727272728,0.0
104,0.30303030303030304,2.727272727272727,96.36363636363636,0.6060606060606061
105,1.5151515151515151,2.1212121212121215,95.45454545454545,0.9090909090909091
106,19.393939393939394,2.1212121212121215,76.96969696969697,1.5151515151515151
107,34.24242424242424,4.545454545454546,59.3939393939394,1.8181818181818181
108,7.2727272727272725,1.5151515151515151,89.6969696969697,1.5151515151515151
109,16.060606060606062,3.0303030303030303,77.87878787878788,3.0303030303030303
110,18.484848484848484,7.575757575757576,68.78787878787878,5.151515151515151
111,3.939393939393939,3.0303030303030303,92.12121212121212,0.9090909090909091
112,1.8181818181818181,3.0303030303030303,91.51515151515152,3.6363636363636362
113,23.333333333333332,3.6363636363636362,67.27272727272727,5.757575757575758
114,0.9090909090909091,3.6363636363636362,92.12121212121212,3.3333333333333335
115,11.212121212121213,3.0303030303030303,77.87878787878788,7.878787878787878
116,19.393939393939394,5.757575757575758,66.06060606060606,8.787878787878787
117,3.939393939393939,3.939393939393939,85.75757575757575,6.363636363636363
118,23.636363636363637,3.939393939393939,60.60606060606061,11.818181818181818
119,0.30303030303030304,2.1212121212121215,97.57575757575758,0.0
120,12.727272727272727,1.2121212121212122,84.54545454545455,1.5151515151515151
121,17.272727272727273,5.454545454545454,73.63636363636363,3.6363636363636362
122,23.03030303030303,3.0303030303030303,67.27272727272727,6.666666666666667
123,3.3333333333333335,2.1212121212121215,92.12121212121212,2.4242424242424243
124,2.1212121212121215,3.6363636363636362,93.33333333333333,0.9090909090909091
125,1.5151515151515151,3.939393939393939,93.03030303030303,1.5151515151515151
126,3.939393939393939,4.848484848484849,89.39393939393939,1.8181818181818181
127,29.393939393939394,3.3333333333333335,64.24242424242425,3.0303030303030303
128,1.2121212121212122,3.939393939393939,93.63636363636364,1.2121212121212122
129,11.212121212121213,4.545454545454546,81.81818181818183,2.4242424242424243
